ПОЛЕ	ОПИСАНИЕ
AGREEMENT_RK	уникальный идентификатор объекта в выборке
AGE	возраст клиента
SOCSTATUS_WORK_FL	социальный статус клиента относительно работы (1 - работает, 0 - не работает)
SOCSTATUS_PENS_FL	социальный статус клиента относительно пенсии (1 - пенсионер, 0 - не пенсионер)
GENDER	пол клиента (1- женщины, 0-мужчины)
CHILD_TOTAL	количество детей клиента
DEPENDANTS	количество иждивенцев клиента
EDUCATION	образование
MARITAL_STATUS	семейное положение
GEN_INDUSTRY	отрасль работы клиента
GEN_TITLE	должность
ORG_TP_STATE	форма собственности компании
ORG_TP_FCAPITAL	отношение к иностранному капиталу
JOB_DIR	направление деятельности в нутри компании
FAMILY_INCOME	семейный доход (несколько категорий)
PERSONAL_INCOME	личный доход клиента (в рублях)
REG_ADDRESS_PROVINCE	область регистрации клиента
FACT_ADDRESS_PROVINCE	область фактического пребывания клиента
POSTAL_ADDRESS_PROVINCE	почтовый адрес область
TP_PROVINCE	область торговой точки, где клиент брал последний кредит
REGION_NM	регион РФ
REG_FACT_FL	адрес регистрации и адрес фактического пребывания клиента совпадают(1 - совпадает, 0 - не совпадает)
FACT_POST_FL	адрес фактического пребывания клиента и его почтовый адрес совпадают(1 - совпадает, 0 - не совпадает)
REG_POST_FL	адрес регистрации клиента и его почтовый адрес совпадают(1 - совпадает, 0 - не совпадает)
REG_FACT_POST_FL	почтовый, фактический и адрес регистрации совпадают (1 - совпадают, 0 - не совпадают)
REG_FACT_POST_TP_FL	область регистрации, фактического пребывания, почтового адреса и область расположения торговой точки, где клиент брал кредит совпадают (1 - совпадают, 0 - не совпадают)
FL_PRESENCE_FL	наличие в собственности квартиры (1 - есть, 0 - нет)
OWN_AUTO	кол-во автомобилей в собственности 
AUTO_RUS_FL	наличие в собственности автомобиля российского производства ( 1 - есть, 0 - нет)
HS_PRESENCE_FL	наличие в собственности загородного дома (1 - есть, 0 - нет)
COT_PRESENCE_FL	наличие в собственности котеджа (1 - есть, 0 - нет)
GAR_PRESENCE_FL	наличие в собственности гаража (1 - есть, 0 - нет)
LAND_PRESENCE_FL	наличие в собственности земельного участка (1 - есть, 0 - нет)
CREDIT	сумма последнего кредита клиента (в рублях)
TERM	срок кредита
FST_PAYMENT	первоначальный взнос (в рублях)
DL_DOCUMENT_FL	в анкете клиент указал водительское удостоверение (1 - указал, 0 - не указал)
GPF_DOCUMENT_FL	в анкете клиен указал ГПФ (1 - указал, 0 - не указал)
FACT_LIVING_TERM	количество месяцев проживания по месту фактического пребывания
WORK_TIME	время работы на текущем месте (в месяцах)
FACT_PHONE_FL	наличие в заявке телефона по фактическому месту пребывания
REG_PHONE_FL	наличие в заявке телефона по месту регистрации
GEN_PHONE_FL	наличие в заявке рабочего телефона
LOAN_NUM_TOTAL	количество ссуд клиента
LOAN_NUM_CLOSED	количество погашенных ссуд клиента
LOAN_NUM_PAYM	количество платежей, которые сделал клиент
LOAN_DLQ_NUM	количество просрочек, допущенных клиентом
LOAN_MAX_DLQ	номер максимальной просрочки, допущенной клиентом
LOAN_AVG_DLQ_AMT	средняя сумма просрочки (в рублях)
LOAN_MAX_DLQ_AMT	максимальная сумма просрочки (в рублях)
PREVIOUS_CARD_NUM_UTILIZED	количество уже утилизированных карт ( если пусто - 0) 
